Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
80,saudade_beijo_nem_amar_dia,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]",78,deus_balada_tchau_nem_arrocha,79,saudade_beijo_amar_dia_tempo,1.1882819548214185
79,saudade_beijo_amar_dia_tempo,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 17, 18, 21, 22, 25, 26, 27, 31, 32, 33, 35, 36, 37, 40]",77,saudade_nem_tempo_hoje_amo,76,beijo_boca_amar_céu_louco,1.1142227726900764
78,deus_balada_tchau_nem_arrocha,"[14, 15, 16, 19, 20, 23, 24, 28, 29, 30, 34, 38, 39]",75,deus_tchau_coloca_céu_mãos,63,balada_arrocha_empina_arrocha arrocha_mulherada,1.110852835548701
77,saudade_nem_tempo_hoje_amo,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 13, 21, 27, 31, 33, 36, 37]",72,saudade_beber_solidão_perdeu_celular,71,amo_ama_sabe_tempo_nem,1.088403373019708
76,beijo_boca_amar_céu_louco,"[0, 6, 11, 17, 18, 22, 25, 26, 32, 35, 40]",69,céu_mel_lua_mar_sol,64,beijo_boca_louco_beija_beijar,1.0548650373453685
75,deus_tchau_coloca_céu_mãos,"[15, 16, 19, 23, 24, 28, 29, 30, 38, 39]",73,tchau_cuidado_mãos_coração mãos_tchau tchau,74,deus_coloca_céu_anjos_cantar,1.0381615560209965
74,deus_coloca_céu_anjos_cantar,"[15, 16, 19, 23, 24, 29, 30, 38]",59,solteiro_ninguém_aceitar_queria_status queria,70,deus_coloca_anjos_cantar_céu,0.9967617884326563
73,tchau_cuidado_mãos_coração mãos_tchau tchau,"[28, 39]",39,cuidado_mãos_coração mãos_sabe estou_cair,28,tchau_tchau tchau_querendo querendo_querendo_bate,0.9900505592157742
72,saudade_beber_solidão_perdeu_celular,"[1, 2, 8, 12, 13, 21, 31, 33, 36]",66,perdeu_delícia_doce_fila_chorar,68,saudade_beber_solidão_celular_esquecer,0.9767832420303154
71,amo_ama_sabe_tempo_nem,"[3, 4, 5, 7, 9, 10, 27, 37]",57,tempo_melhor_nem_sabe_mesmo,49,amo_amo amo_escolhi_amor amor_fim,0.9701683492900217
70,deus_coloca_anjos_cantar_céu,"[16, 19, 23, 24, 29, 30]",51,deus_coloca_anjos_jesus_céu,67,destino_cavalo_viola_violão_levando,0.9623204870148324
