ranking_posicao,musica,tag_musica,tag_trecho,ESTROFE,artista,ano,ntokens,url,topic
442,10%,musica442,musica442_trecho2,Já viu o meu desespero E aumentou o volume da televisão Sabe que sou viciada E bebo dobrado ouvindo um modão,Maiara & Maraisa,2016,21,https://www.letras.mus.br/maiara-maraisa/10/,-1
442,10%,musica442,musica442_trecho4,"Garçom, troca o DVD Que essa moda me faz sofrer E o coração não guenta Desse jeito você me desmonta Cada dose cai na conta e os 10% aumenta",Maiara & Maraisa,2016,29,https://www.letras.mus.br/maiara-maraisa/10/,-1
442,10%,musica442,musica442_trecho6,Aí cê me arrebenta! E o coração não guenta E os 10% aumenta,Maiara & Maraisa,2016,13,https://www.letras.mus.br/maiara-maraisa/10/,-1
10,31/12,musica10,musica10_trecho1,Por que você não sai da minha cabeça?,Jorge & Mateus,2015,8,https://www.letras.mus.br/jorge-mateus/31-de-dezembro/,-1
10,31/12,musica10,musica10_trecho3,E por mais que eu queira Por que você não sai da minha cabeça? Por que você não sai da minha cabeça? E vou pedir pra toda estrela que eu vejo Pra realizar meu único desejo,Jorge & Mateus,2015,36,https://www.letras.mus.br/jorge-mateus/31-de-dezembro/,-1
10,31/12,musica10,musica10_trecho9,"Por que você não sai da minha cabeça? Por que você não sai da minha cabeça? Não sai Por que? Por que você não sai da minha cabeça? Você, por que? Não sai, não sai, não sai da minha cabeça não Por que você não sai da minha cabeça? Não sai da minha cabeça Não sai da minha cabeça, por que?",Jorge & Mateus,2015,61,https://www.letras.mus.br/jorge-mateus/31-de-dezembro/,-1
803,1° de Janeiro,musica803,musica803_trecho2,"Até mesmo as sete ondas E os fogos no céu Sabia o que eu ia pedir pro Papai Noel Era você, eh, eh, iêh, eh, eh, iêh, iêh, iêh",Nilson Neto,2024,29,https://www.letras.mus.br/nilson-neto-funk/1deg-de-janeiro/,-1
803,1° de Janeiro,musica803,musica803_trecho3,E quando o céu apagar E o ano virar É com você que eu quero acordar,Nilson Neto,2024,16,https://www.letras.mus.br/nilson-neto-funk/1deg-de-janeiro/,-1
803,1° de Janeiro,musica803,musica803_trecho4,Primeiro de Janeiro Nós dois e um travesseiro Pra mim seria desse jeito o Ano inteiro,Nilson Neto,2024,16,https://www.letras.mus.br/nilson-neto-funk/1deg-de-janeiro/,-1
803,1° de Janeiro,musica803,musica803_trecho5,"E quando o céu apagar, ah, ah, ah Só falta você aceitar, ah, ah, ah Primeiro de Janeiro Cenário perfeito É ter você comigo esse ano inteiro",Nilson Neto,2024,27,https://www.letras.mus.br/nilson-neto-funk/1deg-de-janeiro/,-1
803,1° de Janeiro,musica803,musica803_trecho12,Primeiro de Janeiro Cenário perfeito É ter você comigo esse ano inteiro,Nilson Neto,2024,12,https://www.letras.mus.br/nilson-neto-funk/1deg-de-janeiro/,-1
