ranking_posicao,musica,tag_musica,tag_trecho,ESTROFE,artista,ano,ntokens,url,topic
442,10%,musica442,musica442_trecho1,Tô escorada na mesa Confesso que eu quase caí da cadeira E esse garçom não me ajuda Já trouxe a vigésima saideira,Maiara & Maraisa,2016,22,https://www.letras.mus.br/maiara-maraisa/10/,-1
442,10%,musica442,musica442_trecho2,Já viu o meu desespero E aumentou o volume da televisão Sabe que sou viciada E bebo dobrado ouvindo um modão,Maiara & Maraisa,2016,21,https://www.letras.mus.br/maiara-maraisa/10/,-1
442,10%,musica442,musica442_trecho3,"A terceira música nem acabou Eu já tô lembrando da gente fazendo amor Celular na mão, mas ele não tá tocando Se fosse ligação, nosso amor seria engano, seria engano",Maiara & Maraisa,2016,30,https://www.letras.mus.br/maiara-maraisa/10/,-1
10,31/12,musica10,musica10_trecho1,Por que você não sai da minha cabeça?,Jorge & Mateus,2015,8,https://www.letras.mus.br/jorge-mateus/31-de-dezembro/,-1
10,31/12,musica10,musica10_trecho3,E por mais que eu queira Por que você não sai da minha cabeça? Por que você não sai da minha cabeça? E vou pedir pra toda estrela que eu vejo Pra realizar meu único desejo,Jorge & Mateus,2015,36,https://www.letras.mus.br/jorge-mateus/31-de-dezembro/,-1
10,31/12,musica10,musica10_trecho4,"Amanhecer, primeiro de janeiro Com você Banho de mar Amar e amar De amor me perder Por que você não sai da minha cabeça? Por que você não sai da minha cabeça?",Jorge & Mateus,2015,32,https://www.letras.mus.br/jorge-mateus/31-de-dezembro/,-1
10,31/12,musica10,musica10_trecho7,"Amanhecer, primeiro de janeiro Com você Banho de mar Amar e amar De amor me perder",Jorge & Mateus,2015,16,https://www.letras.mus.br/jorge-mateus/31-de-dezembro/,-1
10,31/12,musica10,musica10_trecho9,"Por que você não sai da minha cabeça? Por que você não sai da minha cabeça? Não sai Por que? Por que você não sai da minha cabeça? Você, por que? Não sai, não sai, não sai da minha cabeça não Por que você não sai da minha cabeça? Não sai da minha cabeça Não sai da minha cabeça, por que?",Jorge & Mateus,2015,61,https://www.letras.mus.br/jorge-mateus/31-de-dezembro/,-1
208,10 Anos,musica208,musica208_trecho1,Fala Seria covardia ir embora sem dizer por quê Existem tantas páginas dessa história pra escrever Não venha inventar um fim,Gusttavo Lima,2014,21,https://www.letras.mus.br/gusttavo-lima/10-anos/,-1
89,10 Minutos Longe de Você (part. Henrique e Juliano),musica89,musica89_trecho1,Dizem que os olhos são como o espelho Que seu brilho sempre reflete aquilo que seu coração tá cheio Dizem que a boca descreve momentos Com palavras de amor revelando o que trago no meu peito,Victor & Leo,2015,36,https://www.letras.mus.br/victor-leo/10-minutos-longe-de-voce/,-1
89,10 Minutos Longe de Você (part. Henrique e Juliano),musica89,musica89_trecho2,Na minha história com você não é tão diferente E no brilho dos seus olhos Vejo o quanto você sente quando estou ausente,Victor & Leo,2015,23,https://www.letras.mus.br/victor-leo/10-minutos-longe-de-voce/,-1
89,10 Minutos Longe de Você (part. Henrique e Juliano),musica89,musica89_trecho4,"Tome um banho de flores, passe o seu perfume Coloque aquela roupa que me traz ciúme Que eu estou chegando pra te amar",Victor & Leo,2015,23,https://www.letras.mus.br/victor-leo/10-minutos-longe-de-voce/,-1
89,10 Minutos Longe de Você (part. Henrique e Juliano),musica89,musica89_trecho5,"Me espera com sorriso de lábios vermelhos Prepare a nossa cama, põe vinho no gelo Que eu quero brindar pra esquecer Esses dez minutos longe de você",Victor & Leo,2015,27,https://www.letras.mus.br/victor-leo/10-minutos-longe-de-voce/,-1
1439,100% Você,musica1439,musica1439_trecho2,"Eu confesso que errei, não preciso me enganar Eu amava o poder e você o poder de amar Aprendi a viver 100% você, 100% você",Fernando e Sorocaba,2020,25,https://www.letras.mus.br/fernando-sorocaba/1459131/,-1
1439,100% Você,musica1439,musica1439_trecho3,"Eu queria ser poeta, mas eu sei nunca vou ser Um poeta pensa muito e eu só penso em você Eu viajo e imagino um final só pra nós dois O passado a gente deixa pra depois",Fernando e Sorocaba,2020,37,https://www.letras.mus.br/fernando-sorocaba/1459131/,-1
1045,11 Vidas,musica1045,musica1045_trecho1,"Me pareço tanto com você Olhando dá pra ver, seu rosto lembra o meu Desde o primeiro aniversário O primeiro passo, sempre pronto pra me defender",Lucas Lucco,2014,26,https://www.letras.mus.br/lucas-lucco/11-vidas/,-1
1045,11 Vidas,musica1045,musica1045_trecho10,Eu só queria se tivesse você Eu só queria se tivesse você,Lucas Lucco,2014,12,https://www.letras.mus.br/lucas-lucco/11-vidas/,-1
1459,126 Cabides,musica1459,musica1459_trecho1,"Contando, são 126 cabides E no guarda-roupa Um grande espaço seu deixado O que faço? Estou eu bem no meu canto Futuro levado meu, roubado",Simone & Simaria,2016,25,https://www.letras.mus.br/simone-simaria-as-coleguinhas/126-cabides/,-1
1459,126 Cabides,musica1459,musica1459_trecho3,E eu nem quis te ver de malas prontas Levando o que eu temia Suas roupas e minha alegria E eu nem quis te ver de malas prontas Nós dois não mais existe Só ficaram 126 cabides,Simone & Simaria,2016,37,https://www.letras.mus.br/simone-simaria-as-coleguinhas/126-cabides/,-1
1459,126 Cabides,musica1459,musica1459_trecho5,E eu nem quis te ver de malas prontas Levando o que eu temia Suas roupas e minha alegria E eu nem quis te ver de malas prontas Nós dois não mais existe,Simone & Simaria,2016,33,https://www.letras.mus.br/simone-simaria-as-coleguinhas/126-cabides/,-1
1430,24 Horas,musica1430,musica1430_trecho2,"E me perdi Quando eu vi que você me deixou E me trocou sem nenhuma razão Era demais, a vida era bela",Luan Santana,2012,22,https://www.letras.mus.br/luan-santana/24-horas/,-1
1262,24 Horas (Pensando Em Você),musica1262,musica1262_trecho4,"3, 4, 5 da tarde encontro os amigos pra o happy hour Até nessa hora confesso, meu Deus, que bate a saudade Em casa, a noite, começa a novela Um beijo me faz pensar em você Então vou pra cama e começa de novo Mais um dia que eu vejo amanhecer",Léo Magalhães,2010,51,https://www.letras.mus.br/leo-magalhaes/1722916/,-1
