ranking_posicao,musica,tag_musica,tag_trecho,ESTROFE,artista,ano,ntokens,url,Topic,Probability
442,10%,musica442,musica442_trecho3,"A terceira música nem acabou Eu já tô lembrando da gente fazendo amor Celular na mão, mas ele não tá tocando Se fosse ligação, nosso amor seria engano, seria engano",Maiara & Maraisa,2016,30,https://www.letras.mus.br/maiara-maraisa/10/,-1,0.035250473506203694
10,31/12,musica10,musica10_trecho1,Por que você não sai da minha cabeça?,Jorge & Mateus,2015,8,https://www.letras.mus.br/jorge-mateus/31-de-dezembro/,-1,0.03210488972009151
10,31/12,musica10,musica10_trecho2,É 31 de dezembro Fim de mais um ano E por mais que eu tente Fazer outros planos Outro ano começa Com o antigo sonho De ter você comigo,Jorge & Mateus,2015,29,https://www.letras.mus.br/jorge-mateus/31-de-dezembro/,-1,0.0574664420371197
10,31/12,musica10,musica10_trecho3,E por mais que eu queira Por que você não sai da minha cabeça? Por que você não sai da minha cabeça? E vou pedir pra toda estrela que eu vejo Pra realizar meu único desejo,Jorge & Mateus,2015,36,https://www.letras.mus.br/jorge-mateus/31-de-dezembro/,-1,0.03210488972009151
10,31/12,musica10,musica10_trecho4,"Amanhecer, primeiro de janeiro Com você Banho de mar Amar e amar De amor me perder Por que você não sai da minha cabeça? Por que você não sai da minha cabeça?",Jorge & Mateus,2015,32,https://www.letras.mus.br/jorge-mateus/31-de-dezembro/,-1,0.13267787733581837
10,31/12,musica10,musica10_trecho7,"Amanhecer, primeiro de janeiro Com você Banho de mar Amar e amar De amor me perder",Jorge & Mateus,2015,16,https://www.letras.mus.br/jorge-mateus/31-de-dezembro/,-1,0.14602144784027715
10,31/12,musica10,musica10_trecho9,"Por que você não sai da minha cabeça? Por que você não sai da minha cabeça? Não sai Por que? Por que você não sai da minha cabeça? Você, por que? Não sai, não sai, não sai da minha cabeça não Por que você não sai da minha cabeça? Não sai da minha cabeça Não sai da minha cabeça, por que?",Jorge & Mateus,2015,61,https://www.letras.mus.br/jorge-mateus/31-de-dezembro/,-1,0.03210488972009129
803,1° de Janeiro,musica803,musica803_trecho1,Tenho certeza de poucas coisas E uma delas é que cê nasceu pra mim E as estrelas já escreveram O nosso encontro que nunca vai ter um fim,Nilson Neto,2024,28,https://www.letras.mus.br/nilson-neto-funk/1deg-de-janeiro/,-1,0.060394520793321416
803,1° de Janeiro,musica803,musica803_trecho4,Primeiro de Janeiro Nós dois e um travesseiro Pra mim seria desse jeito o Ano inteiro,Nilson Neto,2024,16,https://www.letras.mus.br/nilson-neto-funk/1deg-de-janeiro/,-1,0.14871615895065626
803,1° de Janeiro,musica803,musica803_trecho5,"E quando o céu apagar, ah, ah, ah Só falta você aceitar, ah, ah, ah Primeiro de Janeiro Cenário perfeito É ter você comigo esse ano inteiro",Nilson Neto,2024,27,https://www.letras.mus.br/nilson-neto-funk/1deg-de-janeiro/,-1,0.552429046275235
803,1° de Janeiro,musica803,musica803_trecho12,Primeiro de Janeiro Cenário perfeito É ter você comigo esse ano inteiro,Nilson Neto,2024,12,https://www.letras.mus.br/nilson-neto-funk/1deg-de-janeiro/,-1,0.05855557556510904
208,10 Anos,musica208,musica208_trecho2,"Fala Depois de tanto tempo juntos, você vai deixar no ar? Será que pensa que agindo assim o amor irá mudar? Há tanto ainda pra viver, tudo é nada sem você",Gusttavo Lima,2014,31,https://www.letras.mus.br/gusttavo-lima/10-anos/,-1,0.19340496805520146
208,10 Anos,musica208,musica208_trecho3,"Nosso amor não acabou, e ainda digo mais Vou te fazer lembrar de tudo que me prometeu há 10 anos atrás Amor e muito mais Tô pagando pra ver se você é capaz de me esquecer",Gusttavo Lima,2014,36,https://www.letras.mus.br/gusttavo-lima/10-anos/,-1,0.19415952087515054
208,10 Anos,musica208,musica208_trecho8,"Nosso amor não acabou, e ainda digo mais Vou te fazer lembrar de tudo que me prometeu há 10, há 10 Há 10 anos atrás Tô pagando pra ver se você é capaz de me esquecer",Gusttavo Lima,2014,36,https://www.letras.mus.br/gusttavo-lima/10-anos/,-1,0.19415952087515065
89,10 Minutos Longe de Você (part. Henrique e Juliano),musica89,musica89_trecho2,Na minha história com você não é tão diferente E no brilho dos seus olhos Vejo o quanto você sente quando estou ausente,Victor & Leo,2015,23,https://www.letras.mus.br/victor-leo/10-minutos-longe-de-voce/,-1,0.2673477053925023
89,10 Minutos Longe de Você (part. Henrique e Juliano),musica89,musica89_trecho3,"E se você me ouve agora, vai me entender Me falta uma metade, tudo é nada sem você Eu tô chegando pra te ver",Victor & Leo,2015,24,https://www.letras.mus.br/victor-leo/10-minutos-longe-de-voce/,-1,0.1927068783815714
89,10 Minutos Longe de Você (part. Henrique e Juliano),musica89,musica89_trecho5,"Me espera com sorriso de lábios vermelhos Prepare a nossa cama, põe vinho no gelo Que eu quero brindar pra esquecer Esses dez minutos longe de você",Victor & Leo,2015,27,https://www.letras.mus.br/victor-leo/10-minutos-longe-de-voce/,-1,0.25271682539026497
1439,100% Você,musica1439,musica1439_trecho1,"A saudade é uma prova que valeu o que passou Eu me perco, não me acho sem você meu amor Essa porta está aberta, nunca pense em desistir Hoje o Sol nasceu só pra te ver sorrir",Fernando e Sorocaba,2020,37,https://www.letras.mus.br/fernando-sorocaba/1459131/,-1,0.0376238267878245
1439,100% Você,musica1439,musica1439_trecho3,"Eu queria ser poeta, mas eu sei nunca vou ser Um poeta pensa muito e eu só penso em você Eu viajo e imagino um final só pra nós dois O passado a gente deixa pra depois",Fernando e Sorocaba,2020,37,https://www.letras.mus.br/fernando-sorocaba/1459131/,-1,0.278039014349425
1045,11 Vidas,musica1045,musica1045_trecho1,"Me pareço tanto com você Olhando dá pra ver, seu rosto lembra o meu Desde o primeiro aniversário O primeiro passo, sempre pronto pra me defender",Lucas Lucco,2014,26,https://www.letras.mus.br/lucas-lucco/11-vidas/,-1,0.19489000859382954
1045,11 Vidas,musica1045,musica1045_trecho2,Sempre que brigou comigo Pra eu não correr perigo Um herói pronto pra me salvar E com você eu aprendi todas lições Eu enfrentei os meus dragões E só depois me deixou voar,Lucas Lucco,2014,33,https://www.letras.mus.br/lucas-lucco/11-vidas/,-1,0.29331861563781503
1045,11 Vidas,musica1045,musica1045_trecho3,"Mas eu só quero lembrar Que de 10 vidas, onze eu te daria Que foi vendo você Que eu aprendi a lutar",Lucas Lucco,2014,22,https://www.letras.mus.br/lucas-lucco/11-vidas/,-1,0.1941595208751511
1045,11 Vidas,musica1045,musica1045_trecho4,"Mas eu só quero lembrar Antes que meu tempo acabe, pra você não se esquecer Que se Deus me desse uma chance de viver outra vez Eu só queria se tivesse você",Lucas Lucco,2014,32,https://www.letras.mus.br/lucas-lucco/11-vidas/,-1,0.3338588318790511
1045,11 Vidas,musica1045,musica1045_trecho5,"Pai, eu sei, o tempo é implacável Afasta os nossos corpos, mas aproxima o coração O seu nome é sempre lembrado Com um verso, eu falo de você sempre na oração",Lucas Lucco,2014,31,https://www.letras.mus.br/lucas-lucco/11-vidas/,-1,0.2671438756360842
