Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
66,mundo_vem_faz_saudade_amar,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]",64,amo_saudade_amar_deus_preciso,65,mundo_vem_faz_cara_sabe,1.2057289919982757
65,mundo_vem_faz_cara_sabe,"[0, 1, 2, 3, 4, 5, 6, 10, 12, 14, 15, 19, 21, 22, 23, 24, 26, 29, 31, 32]",60,vem_querendo_faz_dar_hoje,62,mundo_beijo_sabe_ninguém_olhos,1.0610827224039827
64,amo_saudade_amar_deus_preciso,"[7, 8, 9, 11, 13, 16, 17, 18, 20, 25, 27, 28, 30, 33]",59,deus_senhor_jesus_santo_antes,63,amo_saudade_amar_peito_tanto,1.0297809012160635
63,amo_saudade_amar_peito_tanto,"[7, 9, 11, 16, 17, 18, 20, 27, 28, 30]",44,amo_todo mundo_mundo_amar_mundo todo,61,saudade_hoje_contar_sentir_peito,1.0148283203473585
62,mundo_beijo_sabe_ninguém_olhos,"[0, 1, 2, 3, 14, 19, 21, 22, 24, 26, 31, 32]",58,flor_cadê_quis_sabia_deu,55,mundo_beijo_olhos_quase_cara,0.969965421030213
61,saudade_hoje_contar_sentir_peito,"[7, 17, 18, 20, 27, 28, 30]",51,hoje_solidão_aceitar_melhor_hora,57,saudade_chove_sentir saudade_sentir_será,0.9670153238223254
60,vem_querendo_faz_dar_hoje,"[4, 5, 6, 10, 12, 15, 23, 29]",56,vem_querendo_faz_hoje_casa,47,bagunça_teve_sirvo_tava_tirou,0.9658009414052168
59,deus_senhor_jesus_santo_antes,"[8, 13, 25, 33]",40,deus_senhor_jesus_santo_antes,54,amamos_juntos_dois_importa_deixe,0.9369622224049249
58,flor_cadê_quis_sabia_deu,"[14, 19, 22, 32]",32,ser gente_sabia_gente ser_parava_deixava,53,flor_cadê_amei_quantos_deu,0.9337399304188949
57,saudade_chove_sentir saudade_sentir_será,"[20, 30]",20,repetir_saudade_odeia_arrepia_faz,30,chove_sentir saudade_saudade_será_invadem,0.9214806351511364
56,vem_querendo_faz_hoje_casa,"[4, 5, 6, 12, 15, 23]",23,acha_coragem_será_colchão_salvando,46,vem_querendo_faz_hoje_louca,0.9142903998102867
55,mundo_beijo_olhos_quase_cara,"[0, 1, 2, 3, 21, 24, 26, 31]",52,mundo_beijo_olhos_quase_ninguém,49,coladinha_sinto saudade_fazendo_imaginar_gole,0.9127298487460955
54,amamos_juntos_dois_importa_deixe,"[25, 33]",33,deixe_sei sei_amor juro_deixe aqui_favor escute,25,dois_amamos_juntos_final_voltas,0.9050408173941848
53,flor_cadê_amei_quantos_deu,"[14, 19, 22]",50,levou_superou_sobrou_sabe_amizade,14,quantos_quantas_flor_deu valor_vale pena,0.904088555920803
52,mundo_beijo_olhos_quase_ninguém,"[0, 1, 2, 3, 21, 26]",26,garrafa_tarde_acabando_tomo_cheirosa,42,mundo_beijo_olhos_quase_ninguém,0.8984384974884915
51,hoje_solidão_aceitar_melhor_hora,"[7, 17, 18, 27, 28]",48,hoje_hora_aceitar_melhor_saber,27,diga_saída_sim_diga sim_difícil viver,0.8958711324782994
50,levou_superou_sobrou_sabe_amizade,"[19, 22]",22,superou_levou_amizade_cadê_amei,19,sobrou_sertão_bão_enganou_sabe dia,0.8846812295092359
49,coladinha_sinto saudade_fazendo_imaginar_gole,"[24, 31]",31,sinto saudade_lembra_fiquei_ciúme_duvido,24,coladinha_imaginar_gole_negócio_lembrei,0.8753976080467754
48,hoje_hora_aceitar_melhor_saber,"[7, 17, 18, 28]",28,levou_pedaço_lembrar_10_amou,45,hoje_aceitar_hora_solidão_seja,0.8746301681650887
47,bagunça_teve_sirvo_tava_tirou,"[10, 29]",10,bagunça_teve_tava_sirvo_tirou,29,vale_risco_ponto_senta aqui_senta,0.8732837677012807
46,vem_querendo_faz_hoje_louca,"[4, 5, 6, 12, 15]",43,vem_querendo_hoje_faz_arrocha,15,corre_vem_chance passa_perde tempo_escapa,0.8680705283726134
45,hoje_aceitar_hora_solidão_seja,"[7, 17, 18]",41,hoje_aceitar_seja_hoje rolar_chorar,18,solidão_amanhã_hora_faltar_amanhã tudo,0.8509342155927567
