ranking_posicao,musica,tag_musica,tag_trecho,ESTROFE,artista,ano,ntokens,url,topic
442,10%,musica442,musica442_trecho1,Tô escorada na mesa Confesso que eu quase caí da cadeira E esse garçom não me ajuda Já trouxe a vigésima saideira,Maiara & Maraisa,2016,22,https://www.letras.mus.br/maiara-maraisa/10/,-1
442,10%,musica442,musica442_trecho4,"Garçom, troca o DVD Que essa moda me faz sofrer E o coração não guenta Desse jeito você me desmonta Cada dose cai na conta e os 10% aumenta",Maiara & Maraisa,2016,29,https://www.letras.mus.br/maiara-maraisa/10/,-1
10,31/12,musica10,musica10_trecho2,É 31 de dezembro Fim de mais um ano E por mais que eu tente Fazer outros planos Outro ano começa Com o antigo sonho De ter você comigo,Jorge & Mateus,2015,29,https://www.letras.mus.br/jorge-mateus/31-de-dezembro/,-1
10,31/12,musica10,musica10_trecho4,"Amanhecer, primeiro de janeiro Com você Banho de mar Amar e amar De amor me perder Por que você não sai da minha cabeça? Por que você não sai da minha cabeça?",Jorge & Mateus,2015,32,https://www.letras.mus.br/jorge-mateus/31-de-dezembro/,-1
10,31/12,musica10,musica10_trecho9,"Por que você não sai da minha cabeça? Por que você não sai da minha cabeça? Não sai Por que? Por que você não sai da minha cabeça? Você, por que? Não sai, não sai, não sai da minha cabeça não Por que você não sai da minha cabeça? Não sai da minha cabeça Não sai da minha cabeça, por que?",Jorge & Mateus,2015,61,https://www.letras.mus.br/jorge-mateus/31-de-dezembro/,-1
803,1° de Janeiro,musica803,musica803_trecho1,Tenho certeza de poucas coisas E uma delas é que cê nasceu pra mim E as estrelas já escreveram O nosso encontro que nunca vai ter um fim,Nilson Neto,2024,28,https://www.letras.mus.br/nilson-neto-funk/1deg-de-janeiro/,-1
803,1° de Janeiro,musica803,musica803_trecho3,E quando o céu apagar E o ano virar É com você que eu quero acordar,Nilson Neto,2024,16,https://www.letras.mus.br/nilson-neto-funk/1deg-de-janeiro/,-1
803,1° de Janeiro,musica803,musica803_trecho4,Primeiro de Janeiro Nós dois e um travesseiro Pra mim seria desse jeito o Ano inteiro,Nilson Neto,2024,16,https://www.letras.mus.br/nilson-neto-funk/1deg-de-janeiro/,-1
803,1° de Janeiro,musica803,musica803_trecho12,Primeiro de Janeiro Cenário perfeito É ter você comigo esse ano inteiro,Nilson Neto,2024,12,https://www.letras.mus.br/nilson-neto-funk/1deg-de-janeiro/,-1
208,10 Anos,musica208,musica208_trecho1,Fala Seria covardia ir embora sem dizer por quê Existem tantas páginas dessa história pra escrever Não venha inventar um fim,Gusttavo Lima,2014,21,https://www.letras.mus.br/gusttavo-lima/10-anos/,-1
