ranking_posicao,musica,tag_musica,tag_trecho,ESTROFE,artista,ano,ntokens,url,topic
442,10%,musica442,musica442_trecho1,Tô escorada na mesa Confesso que eu quase caí da cadeira E esse garçom não me ajuda Já trouxe a vigésima saideira,Maiara & Maraisa,2016,22,https://www.letras.mus.br/maiara-maraisa/10/,4
442,10%,musica442,musica442_trecho2,Já viu o meu desespero E aumentou o volume da televisão Sabe que sou viciada E bebo dobrado ouvindo um modão,Maiara & Maraisa,2016,21,https://www.letras.mus.br/maiara-maraisa/10/,25
442,10%,musica442,musica442_trecho3,"A terceira música nem acabou Eu já tô lembrando da gente fazendo amor Celular na mão, mas ele não tá tocando Se fosse ligação, nosso amor seria engano, seria engano",Maiara & Maraisa,2016,30,https://www.letras.mus.br/maiara-maraisa/10/,-1
442,10%,musica442,musica442_trecho4,"Garçom, troca o DVD Que essa moda me faz sofrer E o coração não guenta Desse jeito você me desmonta Cada dose cai na conta e os 10% aumenta",Maiara & Maraisa,2016,29,https://www.letras.mus.br/maiara-maraisa/10/,25
442,10%,musica442,musica442_trecho6,Aí cê me arrebenta! E o coração não guenta E os 10% aumenta,Maiara & Maraisa,2016,13,https://www.letras.mus.br/maiara-maraisa/10/,-1
10,31/12,musica10,musica10_trecho1,Por que você não sai da minha cabeça?,Jorge & Mateus,2015,8,https://www.letras.mus.br/jorge-mateus/31-de-dezembro/,-1
10,31/12,musica10,musica10_trecho2,É 31 de dezembro Fim de mais um ano E por mais que eu tente Fazer outros planos Outro ano começa Com o antigo sonho De ter você comigo,Jorge & Mateus,2015,29,https://www.letras.mus.br/jorge-mateus/31-de-dezembro/,-1
10,31/12,musica10,musica10_trecho3,E por mais que eu queira Por que você não sai da minha cabeça? Por que você não sai da minha cabeça? E vou pedir pra toda estrela que eu vejo Pra realizar meu único desejo,Jorge & Mateus,2015,36,https://www.letras.mus.br/jorge-mateus/31-de-dezembro/,-1
10,31/12,musica10,musica10_trecho4,"Amanhecer, primeiro de janeiro Com você Banho de mar Amar e amar De amor me perder Por que você não sai da minha cabeça? Por que você não sai da minha cabeça?",Jorge & Mateus,2015,32,https://www.letras.mus.br/jorge-mateus/31-de-dezembro/,-1
10,31/12,musica10,musica10_trecho7,"Amanhecer, primeiro de janeiro Com você Banho de mar Amar e amar De amor me perder",Jorge & Mateus,2015,16,https://www.letras.mus.br/jorge-mateus/31-de-dezembro/,-1
10,31/12,musica10,musica10_trecho9,"Por que você não sai da minha cabeça? Por que você não sai da minha cabeça? Não sai Por que? Por que você não sai da minha cabeça? Você, por que? Não sai, não sai, não sai da minha cabeça não Por que você não sai da minha cabeça? Não sai da minha cabeça Não sai da minha cabeça, por que?",Jorge & Mateus,2015,61,https://www.letras.mus.br/jorge-mateus/31-de-dezembro/,-1
